Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ACTN2	100491		32	25	147	17.0%	No
ADAMTSL4	11569		32	24	147	16.3%	No
ADGRB1	95580		32	22	147	15.0%	No
ADGRE1	52894		32	23	147	15.6%	No
ASCC3	373214		32	30	147	20.4%	No
BRCA1	125954		32	25	176	14.2%	Yes
BRD4	97027		32	26	147	17.7%	Yes
C6ORF118	29942		32	26	147	17.7%	No
CAMSAP1	99060		32	22	147	15.0%	No
CCDC102B	341989		32	26	147	17.7%	No
CENPE	93115		32	27	147	18.4%	No
COL23A1	352918		32	28	147	19.0%	No
COL6A1	23296		32	24	147	16.3%	No
COL9A3	24920		32	25	147	17.0%	No
CORIN	244134		32	25	147	17.0%	No
CSF2RB	26816		32	25	147	17.0%	No
CYLC2	23178		32	29	147	19.7%	No
DACH2	684154		32	25	147	17.0%	No
DLEC1	84821		32	23	147	15.6%	No
DLG5	136443		32	25	147	17.0%	No
DYNC1I1	337864		32	25	147	17.0%	No
EPB41L2	224019		32	25	147	17.0%	No
EPHB3	20633		32	27	147	18.4%	No
FHAD1	163763		32	22	147	15.0%	No
FRMPD2	121609		32	28	147	19.0%	No
FUT9	200177		32	27	147	18.4%	No
GUCY2D	17728		32	22	147	15.0%	No
HEATR4	80464		32	28	147	19.0%	No
HEPH	106428		32	25	147	17.0%	No
ISM2	25015		32	24	147	16.3%	No
KIF1B	171074		32	25	147	17.0%	No
KLHL4	152642		32	26	147	17.7%	No
KRT5	5956		32	29	147	19.7%	No
KRT76	9191		32	25	147	17.0%	No
LMOD2	8425		32	24	147	16.3%	No
MAP3K1	80615		32	27	176	15.3%	Yes
MOV10L1	71685		32	23	147	15.6%	No
MYH10	158099		32	30	147	20.4%	No
MYO5A	221852		32	27	147	18.4%	Yes
NAALAD2	61380		32	20	147	13.6%	No
NCOA1	279711		32	27	147	18.4%	Yes
OC90	35167		32	27	147	18.4%	No
OGDHL	27752		32	23	147	15.6%	No
OR2G6	19265		32	24	147	16.3%	No
OR4M1	10193		32	24	147	16.3%	No
PADI2	52699		32	26	147	17.7%	No
PGM5	206702		32	24	147	16.3%	No
PHF3	143535		32	29	147	19.7%	No
PHLDB1	51643		32	25	147	17.0%	No
PHRF1	36056		32	22	147	15.0%	No
PI4KA	151727		32	25	147	17.0%	No
PIK3AP1	127492		32	27	147	18.4%	No
PLXND1	51469		32	25	147	17.0%	No
PPARGC1A	149049		32	23	147	15.6%	No
QRICH2	34228		32	20	147	13.6%	No
REG3G	2820		32	23	147	15.6%	No
RGS22	170333		32	25	147	17.0%	No
RPTOR	421553		32	26	176	14.8%	Yes
SARDH	76449		32	26	147	17.7%	No
SBF2	528102		32	27	147	18.4%	No
SCRIB	24854		32	25	147	17.0%	No
SETD2	147686		32	26	176	14.8%	Yes
SH3TC1	59732		32	22	147	15.0%	No
SLC12A3	50644		32	24	147	16.3%	No
SLC4A1	19752		32	25	147	17.0%	No
SNAP91	156812		32	27	147	18.4%	No
SPOCK3	501413		32	25	147	17.0%	No
STK11IP	20648		32	25	147	17.0%	No
TLN1	35248		32	28	147	19.0%	No
TTLL2	34433		32	27	147	18.4%	No
VPS8	241897		32	27	147	18.4%	No
VWCE	39663		32	27	147	18.4%	No
WDR81	22077		32	26	147	17.7%	No
WDR97	10603		32	13	147	8.8%	No
ZC3H13	98418		32	26	147	17.7%	No
ZGRF1	98060		32	26	147	17.7%	No
ABCD2	69771		31	28	147	19.0%	No
AMBRA1	197712		31	24	147	16.3%	No
ANKRD24	42189		31	22	147	15.0%	No
ARAP2	296557		31	28	147	19.0%	No
ATP8A2	653878		31	22	147	15.0%	No
CARMIL2	12582		31	21	147	14.3%	No
CATSPER1	9728		31	23	147	15.6%	No
CCDC33	133768		31	24	147	16.3%	No
CCDC88A	132225		31	25	147	17.0%	No
CEP164	99049		31	26	147	17.7%	No
CRYBG3	122974		31	21	147	14.3%	No
DAB2	90626		31	28	147	19.0%	No
DACT1	14355		31	25	147	17.0%	No
DDI1	2557		31	24	147	16.3%	No
DISP1	191529		31	26	147	17.7%	No
DOP1B	137518		31	27	147	18.4%	No
ESPNL	32948		31	25	147	17.0%	No
EXPH5	88334		31	24	147	16.3%	No
FYB1	169277		31	25	147	17.0%	No
GDF5	21400		31	23	147	15.6%	No
HEATR6	37925		31	27	147	18.4%	No
HIPK2	216429		31	24	147	16.3%	No
IGF1R	315992		31	28	176	15.9%	Yes
KIF6	395419		31	28	147	19.0%	No
LAMC1	122173		31	25	147	17.0%	No
LATS1	59953		31	26	147	17.7%	Yes
LRRC9	147105		31	16	147	10.9%	No
LRRIQ4	24904		31	26	147	17.7%	No
NEO1	253561		31	27	147	18.4%	No
NLRC3	38371		31	22	147	15.0%	No
NUP98	126710		31	28	147	19.0%	Yes
PCDHB16	3840		31	28	147	19.0%	No
PCDHGB2	152982		31	23	147	15.6%	No
PIK3C2B	72178		31	23	147	15.6%	Yes
PIWIL1	34751		31	25	147	17.0%	No
RALGAPA1	270953		31	24	147	16.3%	No
RORB	195843		31	19	147	12.9%	No
SALL4	20191		31	20	147	13.6%	Yes
SH3TC2	139525		31	21	147	14.3%	No
SIGLEC11	12202		31	24	147	16.3%	No
SLC22A6	48583		31	23	147	15.6%	No
SLC24A5	21683		31	24	147	16.3%	No
SNAPC4	24610		31	23	147	15.6%	No
SNTG2	416765		31	21	147	14.3%	No
SYNJ2	117314		31	27	147	18.4%	No
TBC1D9	136201		31	24	147	16.3%	No
TMPRSS6	45886		31	24	147	16.3%	No
TNKS1BP1	26053		31	22	147	15.0%	No
TP63	265888		31	22	176	12.5%	Yes
UBR3	256690		31	29	147	19.7%	No
UGGT2	251903		31	24	147	16.3%	No
USP54	128580		31	24	147	16.3%	No
WIZ	29998		31	18	147	12.2%	No
XKR4	440027		31	25	147	17.0%	No
ZBTB46	88788		31	23	147	15.6%	No
ZC3H4	49590		31	25	147	17.0%	No
ZFAT	235340		31	27	147	18.4%	No
ZNF292	114141		31	21	147	14.3%	Yes
ZNF366	67508		31	22	147	15.0%	No
ZNF585A	66008		31	20	147	13.6%	No
ZSCAN1	20607		31	23	147	15.6%	No
ACSL6	62271		30	24	176	13.6%	Yes
AKNA	60250		30	25	147	17.0%	No
ANKRD31	168637		30	21	147	14.3%	No
ARHGAP29	126081		30	25	147	17.0%	No
ARHGAP33	14291		30	17	147	11.6%	No
ARMC5	9093		30	22	147	15.0%	No
ASXL1	81054		30	24	176	13.6%	Yes
BANK1	663527		30	25	147	17.0%	No
BICD1	276817		30	26	147	17.7%	No
BTAF1	107668		30	20	147	13.6%	No
C16ORF96	44419		30	23	147	15.6%	No
C4ORF54	21300		30	13	147	8.8%	No
C8B	45285		30	26	147	17.7%	No
CARMIL3	17726		30	23	147	15.6%	No
CDH22	135273		30	23	147	15.6%	No
CDH8	389794		30	25	147	17.0%	No
CEP192	133739		30	24	147	16.3%	No
CEP250	64117		30	23	147	15.6%	No
CFAP44	154681		30	26	147	17.7%	No
CHUK	41297		30	24	176	13.6%	Yes
CILP	16719		30	21	147	14.3%	No
CLMN	137982		30	22	147	15.0%	No
CSF1R	60082		30	23	176	13.1%	Yes
CTAGE1	4317		30	23	147	15.6%	No
DHX37	42309		30	21	147	14.3%	No
DNM3	600580		30	22	147	15.0%	No
DROSHA	132693		30	26	147	17.7%	Yes
ECPAS	124061		30	22	147	15.0%	No
EPB41L4B	149605		30	25	147	17.0%	No
FLNA	26115		30	22	147	15.0%	No
FRG2C	2893		30	19	147	12.9%	No
GOLGA6L2	8206		30	18	147	12.2%	No
GRAMD1B	269524		30	26	147	17.7%	No
GYS2	68811		30	26	147	17.7%	No
HID1	22426		30	20	147	13.6%	No
ICE1	69557		30	20	147	13.6%	No
IGSF22	21919		30	27	147	18.4%	No
ITGA1	171294		30	27	147	18.4%	No
JAK3	23292		30	26	176	14.8%	Yes
JHY	81183		30	23	147	15.6%	No
KCNC2	169763		30	22	147	15.0%	No
KIAA0408	20988		30	24	147	16.3%	No
KIF19	29648		30	22	147	15.0%	No
KIRREL2	15777		30	22	147	15.0%	No
KIT	83517		30	23	176	13.1%	Yes
LHCGR	68957		30	23	147	15.6%	No
LPIN3	19798		30	19	147	12.9%	No
LRP6	151161		30	25	147	17.0%	Yes
MARCO	52493		30	22	147	15.0%	No
MCHR2	75729		30	25	147	17.0%	No
MGAT5B	81990		30	22	147	15.0%	No
MICU3	99004		30	21	147	14.3%	No
MIDEAS	75164		30	25	147	17.0%	Yes
MPEG1	4965		30	25	147	17.0%	Yes
MRC1	102151		30	16	147	10.9%	No
MYO1A	22682		30	24	147	16.3%	No
MYOM3	56156		30	20	147	13.6%	No
NCOR1	189121		30	23	147	15.6%	Yes
NPR1	16146		30	23	147	15.6%	No
OLFML2B	40678		30	25	147	17.0%	No
OR10AG1	4191		30	25	147	17.0%	No
OR2T12	13286		30	26	147	17.7%	No
OR4C15	1113		30	27	147	18.4%	No
PACS2	97585		30	21	147	14.3%	No
PCDHB11	4170		30	26	147	17.7%	No
PCDHGA11	91929		30	26	147	17.7%	No
PCDHGA3	169147		30	23	147	15.6%	No
PEAK1	319561		30	28	147	19.0%	No
PELP1	34564		30	25	147	17.0%	No
PKN1	38820		30	23	147	15.6%	No
PLA2R1	130631		30	21	147	14.3%	No
PPP1R26	9825		30	24	147	16.3%	No
PRB3	3794		30	22	147	15.0%	No
PRTG	131609		30	24	147	16.3%	No
PTPRR	282666		30	27	147	18.4%	No
RALGAPA2	323115		30	23	147	15.6%	No
RAPGEF6	211314		30	25	147	17.0%	No
RET	53326		30	23	176	13.1%	Yes
RGPD3	77124		30	24	147	16.3%	No
RGS12	146893		30	25	147	17.0%	No
RPTN	5634		30	24	147	16.3%	No
SCG2	5422		30	24	147	16.3%	No
SETBP1	388338		30	25	147	17.0%	Yes
SMG1	121553		30	19	147	12.9%	Yes
SOX5	1033041		30	25	147	17.0%	No
TAS1R2	20062		30	20	147	13.6%	No
TGM6	51853		30	25	147	17.0%	No
TMEM119	8470		30	25	147	17.0%	No
TNRC6C	150199		30	21	147	14.3%	No
TOGARAM2	95731		30	21	147	14.3%	No
TP53BP2	66062		30	23	147	15.6%	No
TRAPPC9	730855		30	27	147	18.4%	No
TRIM36	55785		30	23	147	15.6%	No
TRO	10975		30	23	147	15.6%	No
TRPV5	25646		30	25	147	17.0%	No
WDR62	50460		30	22	147	15.0%	No
ZC3H3	103801		30	23	147	15.6%	No
ZFP82	35548		30	21	147	14.3%	No
ZNF106	78319		30	21	147	14.3%	No
ZNF112	40663		30	21	147	14.3%	No
ZNF646	9794		30	24	147	16.3%	No
ZSCAN20	29047		30	25	147	17.0%	No
ZSCAN4	10218		30	21	147	14.3%	No
ABCC4	281988		29	23	176	13.1%	No
ACE	21323		29	22	147	15.0%	No
ACSBG2	57848		29	23	147	15.6%	No
ADAM19	180325		29	26	147	17.7%	No
ADCY5	166795		29	26	147	17.7%	No
AIFM3	16257		29	23	147	15.6%	No
ARAP1	110396		29	23	147	15.6%	No
ARFGEF2	114983		29	24	147	16.3%	No
ATP1A2	27838		29	24	147	16.3%	No
BCAN	18143		29	22	147	15.0%	No
BMP5	121943		29	25	147	17.0%	No
BMPER	252120		29	21	147	14.3%	No
BPTF	158876		29	24	147	16.3%	No
C8ORF34	488355		29	24	147	16.3%	No
CATSPERB	200012		29	24	147	16.3%	No
CCER1	49555		29	24	147	16.3%	No
CD93	21186		29	23	147	15.6%	No
CEACAM5	21935		29	23	147	15.6%	No
CECR2	198203		29	23	147	15.6%	No
CLTC	77277		29	21	176	11.9%	Yes
CNKSR2	281895		29	19	147	12.9%	No
CNTN2	35353		29	20	147	13.6%	No
CPNE4	751856		29	22	147	15.0%	No
CYP2B6	27118		29	23	147	15.6%	No
DACH1	429239		29	21	147	14.3%	No
DCAF12L1	3432		29	25	147	17.0%	No
DLGAP4	222336		29	20	147	13.6%	No
DOCK10	277379		29	23	147	15.6%	No
DRC5			29	21	147	14.3%	No
EBF2	203689		29	26	147	17.7%	No
ENPP5	12632		29	23	147	15.6%	No
EPG5	166760		29	24	147	16.3%	No
ERICH6	44087		29	26	147	17.7%	No
EXD3	116367		29	20	147	13.6%	No
FAM83H	16800		29	21	147	14.3%	No
FHDC1	43811		29	25	147	17.0%	No
GALNTL6	1229306		29	23	147	15.6%	No
GARIN3	4419		29	25	147	17.0%	No
GCNT1	231354		29	26	147	17.7%	No
GK2	1868		29	20	147	13.6%	No
HEATR5B	116016		29	20	147	13.6%	No
HEPACAM2	38026		29	25	147	17.0%	No
INPP4B	824273		29	20	176	11.4%	Yes
IQSEC3	111689		29	23	147	15.6%	No
IRAG1	120898		29	20	147	13.6%	No
ITGA10	18906		29	24	147	16.3%	No
ITIH1	14502		29	24	147	16.3%	No
JAKMIP2	197338		29	23	147	15.6%	No
KATNIP	230239		29	25	147	17.0%	No
KDM5A	109264		29	26	147	17.7%	Yes
KIAA1671	244738		29	19	147	12.9%	No
LGR6	126090		29	22	147	15.0%	No
LRRC15	14495		29	20	147	13.6%	No
LRRN1	50457		29	25	147	17.0%	No
LTN1	64813		29	22	147	15.0%	No
MAP1S	15912		29	20	147	13.6%	No
MAST3	53944		29	22	147	15.0%	No
MICAL2	268133		29	22	147	15.0%	No
MLXIPL	31375		29	25	147	17.0%	No
MX2	47461		29	23	147	15.6%	No
MXRA5	38088		29	21	147	14.3%	No
MYEF2	43722		29	22	147	15.0%	No
MYLK3	88126		29	23	147	15.6%	No
MYO15B	39050		29	13	147	8.8%	No
NEDD9	199051		29	25	147	17.0%	No
NINL	133993		29	26	147	17.7%	No
NPAS2	176739		29	22	147	15.0%	No
NUP160	70471		29	25	147	17.0%	No
NUTM1	14423		29	22	147	15.0%	Yes
OR4K5	972		29	23	147	15.6%	No
OR4L1	939		29	22	147	15.0%	No
PCDHB10	3295		29	23	147	15.6%	No
PCDHGA8	122819		29	23	147	15.6%	No
PCDHGB4	125278		29	20	147	13.6%	No
PCNT	121646		29	25	147	17.0%	No
PDE11A	485096		29	20	147	13.6%	No
PDE2A	98451		29	22	147	15.0%	No
PER2	46059		29	24	147	16.3%	No
PLEKHA4	31765		29	20	147	13.6%	No
PLXNB1	26651		29	22	147	15.0%	No
POSTN	36274		29	22	147	15.0%	No
PRX	21307		29	22	147	15.0%	No
PTCHD4	254525		29	21	147	14.3%	No
RIN3	175380		29	23	147	15.6%	No
RIPOR3	106842		29	20	147	13.6%	No
RTL1	23970		29	22	147	15.0%	No
RTTN	202998		29	20	147	13.6%	No
RXFP2	63864		29	22	147	15.0%	No
SAMD7	27604		29	22	147	15.0%	No
SEC31A	83086		29	26	176	14.8%	Yes
SENP7	189037		29	21	147	14.3%	No
SERPINI2	37059		29	19	147	12.9%	No
SFRP4	119764		29	27	147	18.4%	Yes
SGSM1	121410		29	22	147	15.0%	No
SIK3	255044		29	23	147	15.6%	No
SLC6A19	23517		29	25	147	17.0%	No
SPTBN2	62175		29	22	147	15.0%	No
SRGAP3	382463		29	20	176	11.4%	No
SV2A	15255		29	23	147	15.6%	No
TBX20	51671		29	24	147	16.3%	No
TCOF1	42863		29	23	147	15.6%	No
TFAP2D	59508		29	16	147	10.9%	No
TMPRSS7	46534		29	21	147	14.3%	No
TNS4	25800		29	22	147	15.0%	No
TOX2	154773		29	25	147	17.0%	No
TP53BP1	107668		29	24	147	16.3%	Yes
TPTE2	138750		29	19	147	12.9%	No
TTLL4	44608		29	22	147	15.0%	No
TYR	117885		29	26	147	17.7%	No
UBQLN3	2659		29	25	147	17.0%	No
USF3	48262		29	21	147	14.3%	No
USP28	77721		29	22	147	15.0%	No
VWA3A	64437		29	25	147	17.0%	No
WDHD1	88502		29	24	147	16.3%	No
XDH	80428		29	28	147	19.0%	No
ZC3H6	64463		29	22	147	15.0%	No
ZFR2	65015		29	16	147	10.9%	No
ZNF215	74632		29	24	147	16.3%	No
ZNF43	47180		29	21	147	14.3%	No
ACACA	321845		28	24	147	16.3%	Yes
ADAM12	376097		28	22	147	15.0%	No
ADAMTS15	28001		28	19	147	12.9%	No
AGL	74248		28	24	147	16.3%	No
ANKHD1	139509		28	23	147	15.6%	No
ANO3	474448		28	25	147	17.0%	No
ARAP3	29016		28	21	147	14.3%	No
ARHGAP22	210230		28	24	147	16.3%	No
ARHGAP30	23025		28	23	147	15.6%	No
ARHGAP32	314265		28	24	147	16.3%	No
ASAP1	391659		28	19	147	12.9%	No
ATP2B2	383985		28	21	147	14.3%	No
ATXN2	156192		28	25	147	17.0%	Yes
CAMTA2	19693		28	23	147	15.6%	No
CASS4	48339		28	22	147	15.0%	No
CCDC178	503700		28	21	147	14.3%	No
CD33	26828		28	20	147	13.6%	No
CDH5	38149		28	24	147	16.3%	No
CDK12	106123		28	22	176	12.5%	Yes
CDON	107540		28	25	147	17.0%	No
CEMIP2	133327		28	23	147	15.6%	No
CEP152	98219		28	23	147	15.6%	No
CFAP58	101270		28	19	147	12.9%	No
CFAP74	81887		28	11	147	7.5%	No
CNGB1	88789		28	21	147	14.3%	No
COL17A1	55473		28	22	147	15.0%	No
COLGALT2	107876		28	23	147	15.6%	No
CYP2A13	7745		28	23	147	15.6%	No
CYP4F2	22636		28	24	147	16.3%	No
DHX57	78215		28	22	147	15.0%	No
DOCK7	234167		28	25	147	17.0%	No
DOT1L	68646		28	20	176	11.4%	Yes
DPP6	1146153		28	21	147	14.3%	No
DUOX2	21523		28	20	147	13.6%	No
ECE2	17501		28	25	147	17.0%	No
EFCAB6	283594		28	22	147	15.0%	No
EPHA10	51254		28	24	147	16.3%	No
EPHA2	31733		28	21	147	14.3%	No
ETV5	64005		28	24	176	13.6%	Yes
EVC2	166777		28	24	147	16.3%	No
F11	31115		28	21	147	14.3%	No
FOLH1	63549		28	23	147	15.6%	Yes
GABRG2	162921		28	23	147	15.6%	No
GAK	83137		28	24	147	16.3%	No
HAO1	57536		28	22	147	15.0%	No
HDC	24019		28	21	147	14.3%	No
HHLA1	49680		28	20	147	13.6%	No
HK3	18618		28	24	147	16.3%	No
IGDCC4	41605		28	25	147	17.0%	No
IKZF1	101690		28	26	176	14.8%	Yes
IMPG2	98030		28	24	147	16.3%	No
INO80	137689		28	20	147	13.6%	No
ITGA4	81739		28	23	147	15.6%	No
KCNG4	21356		28	20	147	13.6%	No
KCNT1	93324		28	24	147	16.3%	No
KCTD19	37333		28	24	147	16.3%	No
KDM4B	184505		28	21	147	14.3%	No
KHDRBS3	199267		28	25	147	17.0%	No
KIF13A	228453		28	22	147	15.0%	No
MALRD1	741601		28	21	147	14.3%	No
MAP3K21	57568		28	19	147	12.9%	Yes
MAST1	41002		28	20	147	13.6%	No
MBD6	9439		28	23	147	15.6%	Yes
MCTP2	252427		28	24	147	16.3%	No
MEP1A	46434		28	24	147	16.3%	No
MIA2	158283		28	19	147	12.9%	No
MMP24	50440		28	24	176	13.6%	No
MTTP	59917		28	22	147	15.0%	No
MYO18A	109338		28	22	147	15.0%	Yes
MYOF	175906		28	21	147	14.3%	No
NCKAP1L	50523		28	22	147	15.0%	No
NEK5	95482		28	20	147	13.6%	No
NELL2	413616		28	21	147	14.3%	No
NUP205	91032		28	23	147	15.6%	No
OBSL1	21133		28	24	147	16.3%	No
OR10K1	9284		28	24	147	16.3%	No
OR2A12	12676		28	20	147	13.6%	No
OR2M5	939		28	21	147	14.3%	No
OR4A5	1071		28	23	147	15.6%	No
OR5D13	945		28	22	147	15.0%	No
OR5H14	9136		28	22	147	15.0%	No
PAH	121522		28	23	147	15.6%	No
PCDHA3	211320		28	20	147	13.6%	No
PCK1	7549		28	22	147	15.0%	No
PDHA2	1372		28	24	147	16.3%	No
PLCB2	29766		28	24	147	16.3%	No
PLEKHA7	237124		28	25	147	17.0%	No
PPARGC1B	125029		28	23	147	15.6%	No
PTPN22	57943		28	21	147	14.3%	No
RAI1	129996		28	24	147	16.3%	No
RASA3	154993		28	24	147	16.3%	No
RGS3	153013		28	22	147	15.0%	No
RPAP1	27103		28	25	147	17.0%	No
RPGRIP1	71219		28	18	147	12.2%	No
SCN4A	34365		28	23	147	15.6%	No
SH2B1	27613		28	19	147	12.9%	No
SLC13A1	86517		28	22	147	15.0%	No
SLC5A4	36884		28	22	147	15.0%	No
SLCO1A2	155077		28	24	147	16.3%	No
ST6GALNAC3	559858		28	26	147	17.7%	No
STK36	30666		28	21	147	14.3%	No
SYNJ1	99284		28	23	147	15.6%	No
TLL2	149334		28	22	147	15.0%	Yes
TMC5	88686		28	20	147	13.6%	No
TMPRSS2	66821		28	23	147	15.6%	Yes
TONSL	15707		28	23	147	15.6%	Yes
TTLL5	321460		28	26	147	17.7%	No
TUBGCP6	27341		28	25	147	17.0%	No
TUT4	145206		28	20	147	13.6%	No
UGT2B4	45881		28	22	147	15.0%	No
WIPF1	123354		28	22	147	15.0%	No
ZC3H18	61562		28	24	147	16.3%	No
ZNF470	21444		28	20	147	13.6%	No
ZNF471	22491		28	19	147	12.9%	No
ZNF546	36905		28	21	147	14.3%	No
ZNF665	34174		28	21	147	14.3%	No
ZNF750	10589		28	24	147	16.3%	Yes
ZNF90	49083		28	22	147	15.0%	No
ZP4	13059		28	21	147	14.3%	No
ZSWIM8	16192		28	25	147	17.0%	No
ADGRD1	189412		27	21	147	14.3%	No
AGMO	361701		27	20	147	13.6%	No
AKT3	362847		27	22	176	12.5%	Yes
ANKRD35	19529		27	21	147	14.3%	No
AOC3	6947		27	24	147	16.3%	No
APLP1	11905		27	25	147	17.0%	No
ARHGEF10L	158509		27	23	147	15.6%	No
ARHGEF40	20602		27	22	147	15.0%	No
ATP13A3	95693		27	23	147	15.6%	No
ATP2B3	65303		27	23	147	15.6%	Yes
ATP9A	171877		27	22	147	15.0%	No
BAZ2A	41318		27	22	147	15.0%	No
BBS9	767624		27	24	147	16.3%	No
C12ORF42	258388		27	18	147	12.2%	No
CABS1	2136		27	21	147	14.3%	No
CATSPERE	186801		27	21	147	14.3%	No
CCDC110	26571		27	24	147	16.3%	No
CDH17	92923		27	22	147	15.0%	No
CDH20	222350		27	21	147	14.3%	No
CDHR3	159637		27	20	147	13.6%	No
CLTCL1	112455		27	20	176	11.4%	Yes
CNGB3	189699		27	24	147	16.3%	No
COL10A1	39839		27	23	147	15.6%	No
CPED1	309284		27	18	147	12.2%	No
CSF3R	17654		27	23	147	15.6%	Yes
DENND5B	208945		27	23	147	15.6%	No
DMGDH	239065		27	23	147	15.6%	No
DNAAF9	158635		27	24	147	16.3%	No
DOCK8	250406		27	19	147	12.9%	No
EDIL3	444332		27	22	147	15.0%	No
ELAPOR1	93607		27	23	147	15.6%	No
ELFN1	82202		27	18	147	12.2%	No
ELN	42121		27	20	147	13.6%	Yes
EMID1	53790		27	20	147	13.6%	No
EMILIN1	8365		27	20	147	13.6%	No
EVPL	22937		27	21	147	14.3%	No
FAM124A	61906		27	24	147	16.3%	No
FAM131C	15883		27	17	147	11.6%	No
FER1L5	62151		27	15	147	10.2%	No
GAB4	46287		27	23	147	15.6%	No
GLB1L3	45335		27	20	147	13.6%	No
GP2	18839		27	26	147	17.7%	No
GPLD1	70641		27	25	147	17.0%	No
GPR141	150068		27	23	147	15.6%	No
IFT122	90904		27	20	147	13.6%	No
IGSF21	270774		27	22	147	15.0%	No
KCNQ5	577062		27	21	147	14.3%	No
LGR5	146514		27	24	147	16.3%	Yes
LIMCH1	340476		27	23	147	15.6%	No
LRRC4B	51544		27	24	147	16.3%	No
MADD	60878		27	23	147	15.6%	No
MAML2	366598		27	21	176	11.9%	Yes
MARF1	48908		27	19	147	12.9%	No
MCF2L2	250738		27	22	147	15.0%	No
MCTP1	581405		27	23	147	15.6%	No
MYBL2	49477		27	22	147	15.0%	No
MYO10	274382		27	22	147	15.0%	No
NBEAL2	30042		27	19	147	12.9%	No
NLRC4	41318		27	23	147	15.6%	No
NPFFR2	116410		27	23	147	15.6%	No
NUMA1	77834		27	24	147	16.3%	Yes
OR4C46	930		27	21	147	14.3%	No
OR8H2	3972		27	20	147	13.6%	No
PATJ	436199		27	27	147	18.4%	No
PDE4C	47459		27	20	147	13.6%	No
PDE6B	45210		27	22	147	15.0%	No
PGLYRP2	30315		27	23	147	15.6%	No
PHF20	178418		27	19	147	12.9%	No
PIK3CA	91980		27	24	176	13.6%	Yes
PITPNM2	167663		27	20	147	13.6%	No
PKDREJ	7681		27	24	147	16.3%	No
PLCXD3	203650		27	23	147	15.6%	No
PNPLA7	90480		27	19	147	12.9%	No
PPFIA4	52250		27	22	147	15.0%	No
PRDM2	124892		27	23	147	15.6%	No
PRPF8	34253		27	25	147	17.0%	Yes
PRR23B	1896		27	22	147	15.0%	No
PTCH2	24100		27	22	147	15.0%	No
PTCHD1	70057		27	22	147	15.0%	No
PTPN14	203750		27	20	147	13.6%	Yes
RAPGEF2	257162		27	22	147	15.0%	No
RBBP6	35171		27	20	147	13.6%	No
REG3A	2751		27	21	147	14.3%	No
RESF1	33745		27	21	147	14.3%	No
RGL3	35012		27	22	147	15.0%	No
RIPOR2	238809		27	24	147	16.3%	No
RRP12	69720		27	20	147	13.6%	No
SHPRH	100179		27	24	147	16.3%	No
SIGLEC10	7784		27	22	147	15.0%	No
SIM1	79927		27	26	147	17.7%	No
SKOR2	45492		27	16	147	10.9%	No
SLC26A8	85252		27	24	147	16.3%	No
SLC27A6	498755		27	21	147	14.3%	No
SLC2A10	26771		27	23	147	15.6%	No
SLC35F1	410413		27	23	147	15.6%	No
SLC9A4	60747		27	22	147	15.0%	No
SLFN11	23397		27	20	147	13.6%	Yes
SMG7	126290		27	21	147	14.3%	No
SRCIN1	75922		27	18	147	12.2%	No
STON1	69547		27	22	147	15.0%	No
SUGP2	43153		27	21	147	14.3%	No
SYNE3	109413		27	20	147	13.6%	No
TCHH	9128		27	19	147	12.9%	No
TMEM131	239894		27	20	147	13.6%	No
TRIM58	22952		27	24	147	16.3%	No
UBAP2L	51332		27	21	147	14.3%	No
UGT2B15	24088		27	19	147	12.9%	No
UGT8	80215		27	20	147	13.6%	No
UNC13B	243511		27	24	147	16.3%	No
USP13	151363		27	21	147	14.3%	No
USP19	12893		27	18	147	12.2%	No
USP36	54061		27	23	147	15.6%	No
ZBTB40	102320		27	19	147	12.9%	No
ZNF382	29298		27	18	147	12.2%	No
ADAMTS17	370569		26	21	147	14.3%	No
ADCY2	434401		26	21	147	14.3%	No
ADCYAP1R1	59168		26	22	147	15.0%	No
AK5	277948		26	22	147	15.0%	No
ALPK1	157113		26	21	147	14.3%	No
AMHR2	8001		26	22	147	15.0%	No
ANKRD12	149758		26	21	147	14.3%	No
AQR	117984		26	23	147	15.6%	No
ARHGAP17	96278		26	24	147	16.3%	No
ARHGAP35	144081		26	18	147	12.2%	Yes
ARHGAP39	156701		26	21	147	14.3%	No
BAHD1	31632		26	21	147	14.3%	No
BEST3	56117		26	18	147	12.2%	No
C1ORF87	86502		26	20	147	13.6%	No
CAMSAP2	121815		26	24	147	16.3%	No
CCDC27	25186		26	21	147	14.3%	No
CCDC70	4264		26	22	147	15.0%	No
CDC42BPG	21629		26	21	147	14.3%	No
CEP112	556715		26	22	147	15.0%	No
CEP126	86053		26	22	147	15.0%	No
CEP290	93084		26	26	147	17.7%	No
CGN	28554		26	20	147	13.6%	No
CHD4	44902		26	21	147	14.3%	Yes
CLGN	39710		26	22	147	15.0%	No
CNBD1	748805		26	22	147	15.0%	No
CPT1C	22834		26	19	147	12.9%	No
CPXM2	234061		26	20	147	13.6%	No
CRACDL	142415		26	21	147	14.3%	No
CRAMP1	65572		26	21	147	14.3%	No
CYTIP	81734		26	22	147	15.0%	No
DENND2B	217609		26	21	147	14.3%	No
DICER1	71783		26	23	176	13.1%	Yes
DNMT3A	114736		26	20	176	11.4%	Yes
DOP1A	103685		26	22	147	15.0%	No
