gene_symbol,human_ortholog,appears_in_cbioportal,appears_in_cbioportal_mutated_gene_universe
Cacnb2,CACNB2,TRUE,TRUE
Cactin,CACTIN,TRUE,TRUE
Cad,CAD,TRUE,TRUE
Cadm2,CADM2,TRUE,TRUE
Cadps,CADPS,TRUE,TRUE
Calcoco2,CALCOCO2,TRUE,TRUE
Calcrl,CALCRL,TRUE,TRUE
Calhm4,CALHM4,TRUE,TRUE
Calhm6,CALHM6,TRUE,TRUE
Caln1,CALN1,TRUE,TRUE
Camk2a,CAMK2A,TRUE,TRUE
Camk2b,CAMK2B,TRUE,TRUE
Camk2g,CAMK2G,TRUE,TRUE
Camk2n1,CAMK2N1,FALSE,FALSE
Camkk1,CAMKK1,TRUE,TRUE
Camp,CAMP,TRUE,TRUE
Camsap3,CAMSAP3,TRUE,TRUE
Camta1,CAMTA1,TRUE,TRUE
Camta2,CAMTA2,TRUE,TRUE
Capn1,CAPN1,TRUE,TRUE
Capn10,CAPN10,TRUE,TRUE
Capn12,CAPN12,TRUE,TRUE
Capn13,CAPN13,TRUE,TRUE
Capn6,CAPN6,TRUE,TRUE
Capn8,CAPN8,TRUE,TRUE
Capn9,CAPN9,TRUE,TRUE
Caprin1,CAPRIN1,TRUE,TRUE
Caprin2,CAPRIN2,TRUE,TRUE
Caps2,CAPS2,TRUE,TRUE
Card10,CARD10,TRUE,TRUE
Card11,CARD11,TRUE,TRUE
Carf,CARF,TRUE,TRUE
Carmil1,CARMIL1,TRUE,TRUE
Carmil2,CARMIL2,TRUE,TRUE
Cars,CARS1,TRUE,TRUE
Casc1,DNAI7,TRUE,TRUE
Casd1,CASD1,TRUE,TRUE
Caskin2,CASKIN2,TRUE,TRUE
Casp12,CASP12,TRUE,TRUE
Casp8ap2,CASP8AP2,FALSE,FALSE
Casp9,CASP9,TRUE,TRUE
Casq2,CASQ2,TRUE,TRUE
Casr,CASR,TRUE,TRUE
Cass4,CASS4,TRUE,TRUE
Catsper1,CATSPER1,TRUE,TRUE
Cbfa2t2,CBFA2T2,TRUE,TRUE
Cbfa2t3,CBFA2T3,TRUE,TRUE
Cblb,CBLB,TRUE,TRUE
Cbr4,CBR4,TRUE,TRUE
Cbwd1,ZNG1A,FALSE,FALSE
Cbx2,CBX2,TRUE,TRUE
Cbx4,CBX4,TRUE,TRUE
Cbx8,CBX8,TRUE,TRUE
Cc2d1a,CC2D1A,TRUE,TRUE
Cc2d2a,CC2D2A,TRUE,TRUE
Ccdc106,CCDC106,TRUE,TRUE
Ccdc110,CCDC110,TRUE,TRUE
Ccdc116,CCDC116,TRUE,TRUE
Ccdc120,CCDC120,TRUE,TRUE
Ccdc125,CCDC125,TRUE,TRUE
Ccdc13,CCDC13,TRUE,TRUE
Ccdc130,YJU2B,TRUE,TRUE
Ccdc136,CCDC136,TRUE,TRUE
Ccdc141,CCDC141,TRUE,TRUE
Ccdc151,NA,FALSE,FALSE
Ccdc155,NA,FALSE,FALSE
Ccdc158,CCDC158,TRUE,TRUE
Ccdc162,CCDC162P,FALSE,FALSE
Ccdc171,CCDC171,TRUE,TRUE
Ccdc175,CCDC175,TRUE,TRUE
Ccdc178,CCDC178,TRUE,TRUE
Ccdc183,CCDC183,TRUE,TRUE
Ccdc22,CCDC22,TRUE,TRUE
Ccdc28b,CCDC28B,TRUE,TRUE
Ccdc33,CCDC33,TRUE,TRUE
Ccdc57,CCDC57,TRUE,TRUE
Ccdc60,CCDC60,TRUE,TRUE
Ccdc62,CCDC62,TRUE,TRUE
Ccdc63,CCDC63,TRUE,TRUE
Ccdc70,CCDC70,TRUE,TRUE
Ccdc73,CCDC73,TRUE,TRUE
Ccdc77,CCDC77,TRUE,TRUE
Ccdc8,CCDC8,TRUE,TRUE
Ccdc80,CCDC80,TRUE,TRUE
Ccdc81,CCDC81,TRUE,TRUE
Ccdc85a,CCDC85A,TRUE,TRUE
Ccdc86,CCDC86,TRUE,TRUE
Ccdc97,CCDC97,TRUE,TRUE
Ccdc9b,CCDC9B,TRUE,TRUE
Ccer1,CCER1,TRUE,TRUE
Cchcr1,CCHCR1,TRUE,TRUE
Ccm2l,CCM2L,TRUE,TRUE
Ccna2,CCNA2,TRUE,TRUE
Ccnb3,CCNB3,TRUE,TRUE
Ccne1,CCNE1,TRUE,TRUE
Ccnf,CCNF,TRUE,TRUE
Ccnjl,CCNJL,TRUE,TRUE
Ccnq,CCNQ,FALSE,FALSE
Ccnt2,CCNT2,TRUE,TRUE
Ccr5,CCR5,TRUE,TRUE
Ccr8,CCR8,TRUE,TRUE
Ccrl2,CCRL2,TRUE,TRUE
Ccser1,CCSER1,TRUE,TRUE
Cct4,CCT4,TRUE,TRUE
Cct5,CCT5,TRUE,TRUE
Cd163,CD163,TRUE,TRUE
Cd163l1,NA,FALSE,FALSE
Cd177,CD177,TRUE,TRUE
Cd2,CD2,TRUE,TRUE
Cd200r4,CD200R1,TRUE,TRUE
Cd209f,CLEC4M,TRUE,TRUE
Cd247,CD247,TRUE,TRUE
Cd248,CD248,TRUE,TRUE
Cd27,CD27,TRUE,TRUE
Cd274,CD274,TRUE,TRUE
Cd28,CD28,TRUE,TRUE
Cd300c,CD300A,TRUE,TRUE
Cd300ld2,CD300LF,TRUE,TRUE
Cd300lf,CD300LF,TRUE,TRUE
Cd37,CD37,TRUE,TRUE
Cd3eap,POLR1G,TRUE,TRUE
Cd4,CD4,TRUE,TRUE
Cd44,CD44,TRUE,TRUE
Cd47,CD47,TRUE,TRUE
Cd6,CD6,TRUE,TRUE
Cd79b,CD79B,TRUE,TRUE
Cd86,CD86,TRUE,TRUE
Cd8b1,CD8B,TRUE,TRUE
Cd93,CD93,TRUE,TRUE
Cdan1,CDAN1,TRUE,TRUE
Cdc14a,CDC14A,TRUE,TRUE
Cdc25a,CDC25A,TRUE,TRUE
Cdc27,CDC27,TRUE,TRUE
Cdc34b,CDC34,TRUE,TRUE
Cdc42bpa,CDC42BPA,TRUE,TRUE
Cdc42bpb,CDC42BPB,TRUE,TRUE
Cdc42ep3,CDC42EP3,TRUE,TRUE
Cdc6,CDC6,TRUE,TRUE
Cdc7,CDC7,TRUE,TRUE
Cdca7,CDCA7,TRUE,TRUE
Cdcp1,CDCP1,TRUE,TRUE
Cdh10,CDH10,TRUE,TRUE
Cdh11,CDH11,TRUE,TRUE
Cdh15,CDH15,TRUE,TRUE
Cdh16,CDH16,TRUE,TRUE
Cdh18,CDH18,TRUE,TRUE
Cdh2,CDH2,TRUE,TRUE
Cdh23,CDH23,TRUE,TRUE
Cdh26,CDH26,TRUE,TRUE
Cdh5,CDH5,TRUE,TRUE
Cdh6,CDH6,TRUE,TRUE
Cdh7,CDH7,TRUE,TRUE
Cdh8,CDH8,TRUE,TRUE
Cdhr1,CDHR1,TRUE,TRUE
Cdhr2,CDHR2,TRUE,TRUE
Cdhr3,CDHR3,TRUE,TRUE
Cdhr4,CDHR4,TRUE,TRUE
Cdk16,CDK16,TRUE,TRUE
Cdk3,CDK3,TRUE,TRUE
Cdk5r2,CDK5R2,TRUE,TRUE
Cdk5rap1,CDK5RAP1,TRUE,TRUE
Cdk5rap2,CDK5RAP2,TRUE,TRUE
Cdk5rap3,CDK5RAP3,TRUE,TRUE
Cdk8,CDK8,TRUE,TRUE
Cdkal1,CDKAL1,TRUE,TRUE
Cdkl1,CDKL1,TRUE,TRUE
Cdkl5,CDKL5,TRUE,TRUE
Cdkn1a,CDKN1A,TRUE,TRUE
Cdkn2a,CDKN2A,TRUE,TRUE
Cdkn2aip,CDKN2AIP,TRUE,TRUE
Cdkn2aipnl,CDKN2AIPNL,TRUE,TRUE
Cdkn2b,CDKN2B,TRUE,TRUE
Cdkn2d,CDKN2D,TRUE,TRUE
Cdon,CDON,TRUE,TRUE
Cdr1,NA,FALSE,FALSE
Cdv3,CDV3,TRUE,TRUE
Ceacam12,CEACAM21,TRUE,TRUE
Ceacam16,CEACAM16,TRUE,TRUE
Ceacam20,CEACAM20,TRUE,TRUE
Ceacam5,CEACAM21,TRUE,TRUE
Celf1,CELF1,TRUE,TRUE
Celsr1,CELSR1,TRUE,TRUE
Celsr2,CELSR2,TRUE,TRUE
Celsr3,CELSR3,TRUE,TRUE
Cemip,CEMIP,TRUE,TRUE
Cemip2,CEMIP2,TRUE,TRUE
Cenpa,CENPA,TRUE,TRUE
Cenpf,CENPF,TRUE,TRUE
Cenpi,CENPI,TRUE,TRUE
Cenpj,CENPJ,FALSE,FALSE
Cenpt,CENPT,TRUE,TRUE
Cep104,CEP104,TRUE,TRUE
Cep112,CEP112,TRUE,TRUE
Cep135,CEP135,TRUE,TRUE
Cep164,CEP164,TRUE,TRUE
Cep170,CEP170,TRUE,TRUE
Cep170b,CEP170B,TRUE,TRUE
Cep19,CEP19,TRUE,TRUE
Cep192,CEP192,TRUE,TRUE
Cep250,CEP250,TRUE,TRUE
Cep295,CEP295,TRUE,TRUE
Cep41,CEP41,TRUE,TRUE
Cep78,CEP78,TRUE,TRUE
Cep89,CEP89,TRUE,TRUE
Cerk,CERK,TRUE,TRUE
Cerkl,CERKL,TRUE,TRUE
Ces1a,CES1,TRUE,TRUE
Ces1d,CES1,TRUE,TRUE
Ces1h,CES1,TRUE,TRUE
Ces2b,CES2,TRUE,TRUE
Ces5a,CES5A,TRUE,TRUE
Cfap157,CFAP157,TRUE,TRUE
Cfap44,CFAP44,TRUE,TRUE
Cfap46,CFAP46,TRUE,TRUE
Cfap47,CFAP47,TRUE,TRUE
Cfap54,CFAP54,TRUE,TRUE
Cfap57,CFAP57,TRUE,TRUE
Cfap58,CFAP58,TRUE,TRUE
Cfap61,CFAP61,TRUE,TRUE
Cfap65,CFAP65,TRUE,TRUE
Cfap70,CFAP70,TRUE,TRUE
Cfb,CFB,TRUE,TRUE
Cfc1,CFC1,TRUE,TRUE
Cfd,CFD,FALSE,FALSE
Cfhr1,CFHR1,TRUE,TRUE
Cfi,CFI,TRUE,TRUE
Cflar,CFLAR,TRUE,TRUE
Cfp,CFP,TRUE,TRUE
Cgnl1,CGNL1,TRUE,TRUE
Chaf1b,CHAF1B,TRUE,TRUE
Chat,CHAT,TRUE,TRUE
Chd1,CHD1,TRUE,TRUE
Chd1l,CHD1L,TRUE,TRUE
Chd3,CHD3,TRUE,TRUE
Chd4,CHD4,TRUE,TRUE
Chd5,CHD5,TRUE,TRUE
Chd7,CHD7,TRUE,TRUE
Chia1,CHIA,TRUE,TRUE
Chil4,CHIA,TRUE,TRUE
Chrd,CHRD,TRUE,TRUE
Chrdl1,CHRDL1,TRUE,TRUE
Chrdl2,CHRDL2,TRUE,TRUE
Chrm2,CHRM2,TRUE,TRUE
Chrna1,CHRNA1,TRUE,TRUE
Chrna2,CHRNA2,TRUE,TRUE
Chrna5,CHRNA5,TRUE,TRUE
Chrna7,CHRFAM7A,TRUE,TRUE
Chrnb1,CHRNB1,TRUE,TRUE
Chrnb4,CHRNB4,TRUE,TRUE
Chrnd,CHRND,TRUE,TRUE
Chrne,CHRNE,TRUE,TRUE
Chrng,CHRNG,TRUE,TRUE
Chst7,CHST7,TRUE,TRUE
Chst9,CHST9,TRUE,TRUE
Chsy3,CHSY3,TRUE,TRUE
Chtf18,CHTF18,TRUE,TRUE
Chuk,CHUK,TRUE,TRUE
Ciapin1,CIAPIN1,TRUE,TRUE
Cic,CIC,TRUE,TRUE
Ciita,CIITA,TRUE,TRUE
Cilk1,CILK1,TRUE,TRUE
Cilp,CILP,TRUE,TRUE
Cip2a,CIP2A,TRUE,TRUE
Cipc,CIPC,TRUE,TRUE
Cit,CIT,TRUE,TRUE
Ciz1,CIZ1,TRUE,TRUE
Ckap2,CKAP2,TRUE,TRUE
Ckap4,CKAP4,TRUE,TRUE
Ckap5,CKAP5,TRUE,TRUE
Ckmt2,CKMT2,TRUE,TRUE
Clasp1,CLASP1,TRUE,TRUE
Clca1,CLCA1,TRUE,TRUE
Clca3a1,CLCA1,TRUE,TRUE
Clca3a2,CLCA1,TRUE,TRUE
Clca3b,CLCA1,TRUE,TRUE
Clca4a,CLCA4,TRUE,TRUE
Clcn2,CLCN2,TRUE,TRUE
Clcn3,CLCN3,TRUE,TRUE
Clcnka,CLCNKA,TRUE,TRUE
Cldn18,CLDN18,TRUE,TRUE
Cldn3,CLDN3,TRUE,TRUE
Clec18a,CLEC18A,TRUE,TRUE
Clec4a4,CLEC4A,TRUE,TRUE
Clgn,CLGN,TRUE,TRUE
Clic4,CLIC4,TRUE,TRUE
Clic6,CLIC6,TRUE,TRUE
Clip1,CLIP1,TRUE,TRUE
Clip2,CLIP2,TRUE,TRUE
Clk3,CLK3,TRUE,TRUE
Clmn,CLMN,TRUE,TRUE
Clock,CLOCK,TRUE,TRUE
Clptm1,CLPTM1,TRUE,TRUE
Clptm1l,CLPTM1L,TRUE,TRUE
Clstn3,CLSTN3,TRUE,TRUE
Clu,CLU,TRUE,TRUE
Cluh,CLUH,TRUE,TRUE
Clybl,CLYBL,TRUE,TRUE
Cmklr1,CMKLR1,TRUE,TRUE
Cmpk2,CMPK2,TRUE,TRUE
Cmss1,CMSS1,TRUE,TRUE
Cmtm4,CMTM4,FALSE,FALSE
Cmtr1,CMTR1,TRUE,TRUE
Cndp2,CNDP2,TRUE,TRUE
Cnep1r1,CNEP1R1,TRUE,TRUE
Cnfn,CNFN,TRUE,TRUE
Cnga1,CNGA1,TRUE,TRUE
Cnga2,CNGA2,TRUE,TRUE
Cnga4,CNGA4,TRUE,TRUE
Cnih1,CNIH1,TRUE,TRUE
Cnksr1,CNKSR1,TRUE,TRUE
Cnn1,CNN1,TRUE,TRUE
Cnnm4,CNNM4,TRUE,TRUE
Cnot1,CNOT1,TRUE,TRUE
Cnp,CNP,TRUE,TRUE
Cnr2,CNR2,TRUE,TRUE
Cntd1,CNTD1,TRUE,TRUE
Cntn4,CNTN4,TRUE,TRUE
Cntnap1,CNTNAP1,TRUE,TRUE
Cntnap2,CNTNAP2,TRUE,TRUE
Cntnap3,CNTNAP3,TRUE,TRUE
Cntnap4,CNTNAP4,TRUE,TRUE
Cntnap5a,CNTNAP5,TRUE,TRUE
Cntnap5c,CNTNAP5,TRUE,TRUE
Cntrob,CNTROB,TRUE,TRUE
Coa7,COA7,TRUE,TRUE
Cobl,COBL,TRUE,TRUE
Cobll1,COBLL1,TRUE,TRUE
Coch,COCH,TRUE,TRUE
Cog1,COG1,TRUE,TRUE
Cog6,COG6,TRUE,TRUE
Cog7,COG7,TRUE,TRUE
Col11a2,COL11A2,TRUE,TRUE
Col12a1,COL12A1,TRUE,TRUE
Col13a1,COL13A1,TRUE,TRUE
Col14a1,COL14A1,TRUE,TRUE
Col16a1,COL16A1,TRUE,TRUE
Col18a1,COL18A1,TRUE,TRUE
Col1a1,COL1A1,TRUE,TRUE
Col1a2,COL1A2,TRUE,TRUE
Col20a1,COL20A1,TRUE,TRUE
Col22a1,COL22A1,TRUE,TRUE
Col23a1,COL23A1,TRUE,TRUE
Col25a1,COL25A1,TRUE,TRUE
Col27a1,COL27A1,TRUE,TRUE
Col28a1,COL28A1,TRUE,TRUE
Col3a1,COL3A1,TRUE,TRUE
Col4a2,COL4A2,TRUE,TRUE
Col4a6,COL4A6,TRUE,TRUE
Col5a1,COL5A1,TRUE,TRUE
Col6a3,COL6A3,TRUE,TRUE
Col6a4,NA,FALSE,FALSE
Col6a5,COL6A5,TRUE,TRUE
Col6a6,COL6A6,TRUE,TRUE
Col7a1,COL7A1,TRUE,TRUE
Col9a1,COL9A1,TRUE,TRUE
Col9a2,COL9A2,TRUE,TRUE
Col9a3,COL9A3,TRUE,TRUE
Colca2,NA,FALSE,FALSE
Colec11,COLEC11,TRUE,TRUE
Colgalt1,COLGALT1,TRUE,TRUE
Comp,COMP,TRUE,TRUE
Copa,COPA,TRUE,TRUE
Copb1,COPB1,TRUE,TRUE
Copb2,COPB2,TRUE,TRUE
Cope,COPE,TRUE,TRUE
Cops3,COPS3,TRUE,TRUE
Copz2,COPZ2,TRUE,TRUE
Coq3,COQ3,TRUE,TRUE
Corin,CORIN,TRUE,TRUE
Coro1a,CORO1A,TRUE,TRUE
Coro2b,CORO2B,TRUE,TRUE
Cort,CORT,FALSE,FALSE
Cox7a2l,COX7A2L,TRUE,TRUE
Cpa5,CPA5,TRUE,TRUE
Cpe,CPE,TRUE,TRUE
Cpeb3,CPEB3,TRUE,TRUE
Cped1,CPED1,TRUE,TRUE
Cplane1,CPLANE1,TRUE,TRUE
Cplane2,CPLANE2,TRUE,TRUE
Cpn1,CPN1,TRUE,TRUE
Cpne3,CPNE3,TRUE,TRUE
Cpne4,CPNE4,TRUE,TRUE
Cps1,CPS1,TRUE,TRUE
Cpsf1,CPSF1,TRUE,TRUE
Cpsf3,CPSF3,TRUE,TRUE
Cpsf4,CPSF4,TRUE,TRUE
Cpt1a,CPT1A,TRUE,TRUE
Cpxm1,CPXM1,TRUE,TRUE
Cpxm2,CPXM2,TRUE,TRUE
Cr2,CR1L,TRUE,TRUE
Cramp1l,NA,FALSE,FALSE
Crat,CRAT,TRUE,TRUE
Crb2,CRB2,TRUE,TRUE
Creb5,CREB5,TRUE,TRUE
Crebbp,CREBBP,TRUE,TRUE
Creg2,CREG2,TRUE,TRUE
Crh,CRH,TRUE,TRUE
Crhr1,CRHR1,TRUE,TRUE
Crhr2,CRHR2,TRUE,TRUE
Crim1,CRIM1,TRUE,TRUE
Crisp2,CRISP2,TRUE,TRUE
Crk,CRK,TRUE,TRUE
Crmp1,CRMP1,TRUE,TRUE
Crxos,NA,FALSE,FALSE
Crybb3,CRYBB3,TRUE,TRUE
Crybg1,CRYBG1,TRUE,TRUE
Crybg2,CRYBG2,TRUE,TRUE
Crygd,CRYGD,TRUE,TRUE
Cryge,CRYGD,TRUE,TRUE
Csf1,CSF1,TRUE,TRUE
Csf2rb2,CSF2RB,TRUE,TRUE
Csf3r,CSF3R,TRUE,TRUE
Csgalnact2,CSGALNACT2,TRUE,TRUE
Csl,CS,TRUE,TRUE
Csmd1,CSMD1,TRUE,TRUE
Csmd2,CSMD2,TRUE,TRUE
Csmd3,CSMD3,TRUE,TRUE
Csn1s2a,NA,FALSE,FALSE
Csnk1g1,CSNK1G1,TRUE,TRUE
Csnk2b,CSNK2B,TRUE,TRUE
Cspg5,CSPG5,TRUE,TRUE
Ctcf,CTCF,TRUE,TRUE
Ctdnep1,CTDNEP1,TRUE,TRUE
Ctif,CTIF,TRUE,TRUE
Ctla2b,NA,FALSE,FALSE
Ctla4,CTLA4,TRUE,TRUE
Ctnna1,CTNNA1,TRUE,TRUE
Ctnnal1,CTNNAL1,TRUE,TRUE
Ctnnb1,CTNNB1,TRUE,TRUE
Ctnnd2,CTNND2,TRUE,TRUE
Ctns,CTNS,TRUE,TRUE
Ctrl,CTRL,TRUE,TRUE
Cts8,CTSL,TRUE,TRUE
Ctsll3,CTSL,TRUE,TRUE
Ctso,CTSO,TRUE,TRUE
Ctsr,CTSL,TRUE,TRUE
Cttn,CTTN,TRUE,TRUE
Ctu1,CTU1,TRUE,TRUE
Ctu2,CTU2,TRUE,TRUE
Cubn,CUBN,TRUE,TRUE
Cul9,CUL9,TRUE,TRUE
Cux1,CUX1,TRUE,TRUE
Cux2,CUX2,TRUE,TRUE
Cwc15,CWC15,TRUE,TRUE
Cwf19l1,CWF19L1,TRUE,TRUE
Cx3cl1,CX3CL1,TRUE,TRUE
Cx3cr1,CX3CR1,TRUE,TRUE
Cxcr1,CXCR1,TRUE,TRUE
Cxcr3,CXCR3,TRUE,TRUE
Cxcr4,CXCR4,TRUE,TRUE
Cxcr6,CXCR6,TRUE,TRUE
Cyba,CYBA,TRUE,TRUE
Cyfip2,CYFIP2,TRUE,TRUE
Cyld,CYLD,TRUE,TRUE
Cym,NA,FALSE,FALSE
Cyp11b1,CYP11B1,TRUE,TRUE
Cyp1a1,CYP1A1,TRUE,TRUE
Cyp1a2,CYP1A2,TRUE,TRUE
Cyp24a1,CYP24A1,TRUE,TRUE
Cyp2a22,CYP2A13,TRUE,TRUE
Cyp2a5,CYP2A13,TRUE,TRUE
Cyp2ab1,NA,FALSE,FALSE
Cyp2b10,CYP2B6,TRUE,TRUE
Cyp2b19,CYP2B6,TRUE,TRUE
Cyp2b23,CYP2B6,TRUE,TRUE
Cyp2c37,CYP2C18,TRUE,TRUE
Cyp2c39,CYP2C18,TRUE,TRUE
Cyp2c50,CYP2C18,TRUE,TRUE
Cyp2c65,CYP2C19,TRUE,TRUE
Cyp2c68,CYP2C18,TRUE,TRUE
Cyp2d10,CYP2D6,TRUE,TRUE
Cyp2d11,CYP2D6,TRUE,TRUE
Cyp2d12,CYP2D6,TRUE,TRUE
Cyp2d40,CYP2D6,TRUE,TRUE
Cyp2j11,CYP2J2,TRUE,TRUE
Cyp2j7,CYP2J2,TRUE,TRUE
Cyp2j9,CYP2J2,TRUE,TRUE
Cyp2u1,CYP2U1,TRUE,TRUE
Cyp3a44,CYP3A4,TRUE,TRUE
Cyp4a12a,CYP4A11,TRUE,TRUE
Cyp4a12b,CYP4A11,TRUE,TRUE
Cyp4a29,CYP4A11,TRUE,TRUE
Cyp4a31,CYP4A11,TRUE,TRUE
Cyp4a32,CYP4A11,TRUE,TRUE
Cyp4f15,CYP4F11,TRUE,TRUE
Cyp4x1,CYP4X1,TRUE,TRUE
Cyp51,CYP51A1,TRUE,TRUE
Cyp8b1,CYP8B1,TRUE,TRUE
Cypt15,NA,FALSE,FALSE
Cyth1,CYTH1,TRUE,TRUE
Cytip,CYTIP,TRUE,TRUE
D130043K22Rik,KIAA0319,TRUE,TRUE
D130052B06Rik,NA,FALSE,FALSE
D1Pas1,DDX3X,TRUE,TRUE
D230025D16Rik,NA,FALSE,FALSE
D430041D05Rik,KIAA1549L,TRUE,TRUE
D430042O09Rik,NA,FALSE,FALSE
D5Ertd579e,KIAA0232,TRUE,TRUE
D630039A03Rik,C9orf152,FALSE,FALSE
D630045J12Rik,KIAA1549,TRUE,TRUE
D6Ertd527e,NA,FALSE,FALSE
D930020B18Rik,C12orf56,FALSE,FALSE
Daam1,DAAM1,TRUE,TRUE
Dab1,DAB1,TRUE,TRUE
Dach1,DACH1,TRUE,TRUE
Dact1,DACT1,TRUE,TRUE
Dact2,DACT2,TRUE,TRUE
Dag1,DAG1,TRUE,TRUE
Dapk1,DAPK1,TRUE,TRUE
Dapk3,DAPK3,TRUE,TRUE
Dars2,DARS2,TRUE,TRUE
Dbf4,DBF4,TRUE,TRUE
Dbh,DBH,TRUE,TRUE
Dbnl,DBNL,TRUE,TRUE
Dcaf1,DCAF1,TRUE,TRUE
Dcaf12l2,DCAF12L1,TRUE,TRUE
Dcaf7,DCAF7,TRUE,TRUE
Dcc,DCC,TRUE,TRUE
Dcdc2a,DCDC2,TRUE,TRUE
Dchs1,DCHS1,TRUE,TRUE
Dclk1,DCLK1,TRUE,TRUE
Dclre1a,DCLRE1A,TRUE,TRUE
Dct,DCT,TRUE,TRUE
Dctd,DCTD,TRUE,TRUE
Dctn2,DCTN2,TRUE,TRUE
Dcx,DCX,TRUE,TRUE
Dda1,DDA1,TRUE,TRUE
Ddb1,DDB1,TRUE,TRUE
Ddc,DDC,TRUE,TRUE
Ddhd1,DDHD1,TRUE,TRUE
Ddi1,DDI1,TRUE,TRUE
Ddit3,DDIT3,TRUE,TRUE
Ddn,DDN,TRUE,TRUE
Ddr2,DDR2,TRUE,TRUE
Ddrgk1,DDRGK1,TRUE,TRUE
Ddx10,DDX10,TRUE,TRUE
Ddx21,DDX21,TRUE,TRUE
Ddx23,DDX23,TRUE,TRUE
Ddx25,DDX25,TRUE,TRUE
Ddx31,DDX31,TRUE,TRUE
Ddx39b,DDX39B,FALSE,FALSE
Ddx3x,DDX3X,TRUE,TRUE
Ddx4,DDX4,TRUE,TRUE
Ddx42,DDX42,TRUE,TRUE
Ddx54,DDX54,TRUE,TRUE
Ddx56,DDX56,TRUE,TRUE
Ddx59,DDX59,TRUE,TRUE
Ddx6,DDX6,TRUE,TRUE
Ddx60,DDX60,TRUE,TRUE
Deaf1,DEAF1,TRUE,TRUE
Def6,DEF6,TRUE,TRUE
Defb26,DEFB125,TRUE,TRUE
Dele1,DELE1,TRUE,TRUE
Denn2b,DENND2B,TRUE,TRUE
Dennd1c,DENND1C,TRUE,TRUE
Dennd3,DENND3,TRUE,TRUE
Dennd4a,DENND4A,TRUE,TRUE
Dennd4b,DENND4B,TRUE,TRUE
Dennd5a,DENND5A,TRUE,TRUE
Dennd5b,DENND5B,TRUE,TRUE
Dennd6b,DENND6B,TRUE,TRUE
Derl1,DERL1,TRUE,TRUE
Det1,DET1,TRUE,TRUE
Deup1,DEUP1,TRUE,TRUE
Dgkb,DGKB,TRUE,TRUE
Dgke,DGKE,TRUE,TRUE
Dgkh,DGKH,TRUE,TRUE
Dgki,DGKI,TRUE,TRUE
Dhfr,DHFR,TRUE,TRUE
Dhrs11,DHRS11,TRUE,TRUE
Dhrs4,DHRS4,TRUE,TRUE
Dhrs7c,DHRS7C,TRUE,TRUE
Dhtkd1,DHTKD1,TRUE,TRUE
Dhx29,DHX29,TRUE,TRUE
Dhx36,DHX36,TRUE,TRUE
Dhx37,DHX37,TRUE,TRUE
Dhx38,DHX38,TRUE,TRUE
Dhx58,DHX58,TRUE,TRUE
Dhx8,DHX8,TRUE,TRUE
Diaph1,DIAPH1,TRUE,TRUE
Diaph3,DIAPH3,TRUE,TRUE
Dicer1,DICER1,TRUE,TRUE
Dido1,DIDO1,TRUE,TRUE
Dio2,DIO2,TRUE,TRUE
Dip2a,DIP2A,TRUE,TRUE
Dip2b,DIP2B,TRUE,TRUE
Dipk1b,DIPK1B,TRUE,TRUE
Dis3l,DIS3L,TRUE,TRUE
Disp2,DISP2,TRUE,TRUE
Disp3,DISP3,TRUE,TRUE
Dld,DLD,TRUE,TRUE
Dlec1,DLEC1,TRUE,TRUE
Dlg1,DLG1,TRUE,TRUE
Dlg4,DLG4,TRUE,TRUE
Dlg5,DLG5,TRUE,TRUE
Dlgap2,DLGAP2,TRUE,TRUE
Dlgap4,DLGAP4,TRUE,TRUE
Dll4,DLL4,TRUE,TRUE
Dlst,DLST,TRUE,TRUE
Dlx6,DLX6,TRUE,TRUE
Dmac2l,DMAC2L,TRUE,TRUE
Dmbt1,DMBT1,TRUE,TRUE
Dmd,DMD,TRUE,TRUE
Dmkn,DMKN,TRUE,TRUE
Dmpk,DMPK,TRUE,TRUE
Dmrtc1b,DMRTC1B,TRUE,TRUE
Dmtf1,DMTF1,TRUE,TRUE
Dmxl1,DMXL1,TRUE,TRUE
Dmxl2,DMXL2,TRUE,TRUE
Dna2,DNA2,TRUE,TRUE
Dnaaf4,DNAAF4,TRUE,TRUE
Dnaaf5,DNAAF5,TRUE,TRUE
Dnah1,DNAH1,TRUE,TRUE
Dnah10,DNAH10,TRUE,TRUE
Dnah11,DNAH11,TRUE,TRUE
Dnah12,DNAH12,TRUE,TRUE
Dnah14,DNAH14,TRUE,TRUE
Dnah17,DNAH17,TRUE,TRUE
Dnah2,DNAH2,TRUE,TRUE
Dnah3,DNAH3,TRUE,TRUE
Dnah5,DNAH5,TRUE,TRUE
Dnah6,DNAH6,TRUE,TRUE
Dnah7a,DNAH7,TRUE,TRUE
Dnah7b,DNAH7,TRUE,TRUE
Dnah7c,DNAH7,TRUE,TRUE
Dnah8,DNAH8,TRUE,TRUE
Dnah9,DNAH9,TRUE,TRUE
Dnaic2,NA,FALSE,FALSE
Dnajc12,DNAJC12,TRUE,TRUE
Dnajc13,DNAJC13,TRUE,TRUE
Dnajc2,DNAJC2,TRUE,TRUE
Dnajc21,DNAJC21,TRUE,TRUE
Dnajc5b,DNAJC5B,TRUE,TRUE
Dnase1l2,DNASE1L2,TRUE,TRUE
